date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:23	160304/160304	---M--	200	added ('OK')	image/png	etag:%2234886320571740b5fd02d5ac2bf4ba6c%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Marinara__Seafood_.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Marinara__Seafood_.png	(from https://amalfipizza.com.au/)
23:45:24	501556/501556	---M--	200	added ('OK')	image/png	etag:%220954886d58673f101b6d2309f1fc8d5b%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Deal_8.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Deal_8.png	(from https://amalfipizza.com.au/)
23:45:25	215745/215745	---M--	200	added ('OK')	image/png	etag:%223bfd06f31e58ae9ac2f6227bc2615d57%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_HalfHalf.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_HalfHalf.png	(from https://amalfipizza.com.au/)
23:45:25	964/964	---M--	200	added ('OK')	image/png	etag:%227f0f6982d1cb5e85885598aee15d1ca4%22	https://deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/img/first_half.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/img/first_half.png	(from https://amalfipizza.com.au/)
23:45:26	963/963	---M--	200	added ('OK')	image/png	etag:%22f2aa268c70f223eb78d996f3c51ddc0f%22	https://deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/img/second_half.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/img/second_half.png	(from https://amalfipizza.com.au/)
23:45:28	104417/104417	---M--	200	added ('OK')	image/png	etag:%2239ffa9a9364e189d4f599e9505e6e7d0%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Cadbury_1.2L_Ice_Cream.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Cadbury_1.2L_Ice_Cream.png	(from https://amalfipizza.com.au/)
23:45:30	161220/161220	---M--	200	added ('OK')	image/png	etag:%22a26304dac1c7c41724b02efaa534ed2f%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Tempura_Nuggets.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Tempura_Nuggets.png	(from https://amalfipizza.com.au/)
23:45:31	199148/199148	---M--	200	added ('OK')	image/png	etag:%221164167ec5a86bcd67c36955424977c4%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Meat_Lover_Calzone.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Meat_Lover_Calzone.png	(from https://amalfipizza.com.au/)
23:45:32	203803/203803	---M--	200	added ('OK')	image/png	etag:%22fd5ef2a802069d416bd61d276e5f02da%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Il_Amalfi_Calzone.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Il_Amalfi_Calzone.png	(from https://amalfipizza.com.au/)
23:45:33	175471/175471	---M--	200	added ('OK')	image/png	etag:%229fa38e9921813acb6958bc686ef57369%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Bolognese_Calzone.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Bolognese_Calzone.png	(from https://amalfipizza.com.au/)
